accuracy,stim_response_times,ans_response_times
90,0.645033013,2.355591485
96.969696969697,0.8237299865,3.271772978
92,1.010359235,3.4763735955
96,1.472548331,2.456253375
98,0.787637639,2.0802780755
95,0.9588266165,2.9009261545
90,1.7700397765,3.695863447
96.969696969697,0.9591020635,2.635983309
96,1.028798136,2.118879942
97,0.840744161,1.9163837595
95,0.5880414345,2.665656352
91,1.090874373,1.9784730665
94,0.5851181035,1.523472461
91,1.3123876485,2.5527287175
90,1.7224044135,2.610746998
97,1.1693621905,3.531934659
94.8979591836735,1.9736813865,4.839336117
98,1.176707444,3.088220298
93,1.0148659455,2.712159146
94.9494949494949,1.73481513,4.078768024
98,1.109030751,2.217032678
95.959595959596,0.6416252065,1.971153511
94,1.2272961235,4.112099065
92,1.138129359,2.941841067
